,Brand,Load,Rating,Users,Price,Automated_Type,Load_type,Speed,Star_ratings
0,Thomson,7,4,"8,834","₹7,690",Semi,Top,1600,5
1,realme,7,4.1,"19,495","₹11,790",Fully,Top,700,5
2,realme,7,4.2,"51,785","₹7,890",Semi,Top,1400,5
3,LG,7,4.4,"28,184","₹11,490",Semi,Top,1350,5
4,Whirlpool,7,4.4,"13,340","₹9,990",Semi,Top,1400,5
5,Voltas,6,4.3,"2,902","₹7,990",Semi,Top,1350,5
6,MarQ,6,4.3,"46,215","₹6,990",Semi,Top,1350,5
7,Thomson,7,4,"8,834","₹7,590",Semi,Top,1400,5
8,LG,7,4.4,"17,242","₹28,990",,,1200,5
9,Haier,8,4.3,815,"₹10,490",Semi,Top,1300,5
10,BOSCH,8,4.4,"8,795","₹35,900",Fully,Front,1400,5
11,realme,8,4.2,"51,785","₹9,890",Semi,Top,1400,5
12,SAMSUNG,7,4.3,"14,870","₹15,690",Fully,Top,680,3
13,Thomson,10,4,"8,834","₹9,799",Semi,Top,1600,
14,SAMSUNG,8,4.3,"52,837","₹18,990",Fully,Top,700,5
15,LG,7,4.3,"56,333","₹17,490",Fully,Top,700,5
16,Thomson,10,4,"1,078","₹14,490",Fully,Top,900,5
17,BOSCH,7,4.4,"8,795","₹30,990",Fully,Front,1000,5
18,Whirlpool,8,4.4,"13,340","₹12,990",Semi,,1400,5
19,LG,8,4.3,"56,333","₹18,990",Fully,Top,700,5
20,Panasonic,6,4.3,"10,193","₹13,790",Fully,Top,680,5
21,Sansui,7,4.2,"15,133","₹7,890",Semi,Top,1300,5
22,MOTOROLA,10,4.2,457,"₹10,990",Semi,Top,1350,5
23,Haier,6,4.3,"22,298","₹12,790",Fully,Top,800,5
24,LG,8,4.5,"3,779","₹13,990",,,1300,5
25,LG,7,4.3,"56,333","₹18,490",Fully,Top,700,5
26,Thomson,7,4,"8,834","₹7,690",Semi,Top,1600,5
27,realme,7,4.2,"51,785","₹7,890",Semi,Top,1400,5
28,Intex,8,4.3,"15,478","₹8,390",Semi,Top,1300,
29,LG,9,4.3,408,"₹24,990",Fully,Top,700,5
30,Thomson,7,4,"8,834","₹7,590",Semi,Top,1400,5
31,BOSCH,8,4.4,"8,795","₹35,900",Fully,Front,1400,5
32,realme,7,4.2,"51,785","₹8,290",Semi,Top,1400,5
33,SAMSUNG,8,4.4,"24,506","₹35,990",Fully,Front,1400,5
34,Whirlpool,7,4.1,"13,570","₹14,790",Fully,Top,740,5
35,SAMSUNG,6,4.4,"39,478","₹8,990",Semi,Top,1300,5
36,realme,8,4.2,"51,785","₹9,890",Semi,Top,1400,5
37,Thomson,10,4,"8,834","₹9,799",Semi,Top,1600,
38,Whirlpool,8,4.4,"13,340","₹12,490",Semi,,1400,5
39,SAMSUNG,9,4.4,"39,478","₹16,090",Semi,Top,1300,5
40,Thomson,10,4,"1,078","₹14,490",Fully,Top,900,5
41,BOSCH,7,4.4,"8,795","₹30,990",Fully,Front,1000,5
42,LG,6,4.4,"28,184","₹9,990",Semi,Top,1300,5
43,LG,6,4.4,"4,386","₹24,999",Fully,,1000,5
44,Whirlpool,9,4.4,"13,340","₹13,990",Semi,,1400,5
45,MarQ,7,4.2,"17,602","₹7,390",Semi,Top,1350,5
46,Panasonic,6,4.3,"10,193","₹13,790",Fully,Top,680,5
47,Sansui,7,4.2,"15,133","₹7,890",Semi,Top,1300,5
48,SAMSUNG,9,4.4,"24,506","₹38,990",Fully,Front,1400,5
49,MarQ,6,4.3,"21,165","₹6,990",Semi,Top,1350,5
50,Thomson,7,4,"8,834","₹7,690",Semi,Top,1600,5
51,realme,7,4.1,"19,495","₹11,790",Fully,Top,700,5
52,Intex,7,4.3,"15,478","₹7,290",Semi,,1300,
53,Voltas,8,4.3,"2,902","₹9,990",Semi,Top,1350,5
54,BOSCH,8,4.4,"8,795","₹35,900",Fully,Front,1400,5
55,Whirlpool,7,4.1,"13,570","₹17,990",Fully,Top,740,5
56,MarQ,6,4.3,"46,215","₹6,990",Semi,Top,1350,5
57,realme,7,4.2,"51,785","₹7,890",Semi,Top,1400,5
58,Whirlpool,6,4.2,"18,202","₹13,790",Fully,Top,740,5
59,LG,6,4,,"₹13,900",Semi,Top,1300,5
60,MOTOROLA,7,4.1,"2,015","₹19,990",,,1000,5
61,MOTOROLA,10,4.2,457,"₹10,990",Semi,Top,1350,5
62,LG,8,,,"₹21,990",Fully,Top,740,5
63,LG,7,4.4,"17,242","₹26,990",,,1200,5
64,BOSCH,8,4.4,"8,795","₹34,900",Fully,Front,1400,5
65,Intex,7,4.3,"15,478","₹6,990",Semi,,1300,
