,Brand,Load,Rating,Users,Price,Automated_Type,Load_type,Speed,Star_ratings
0,Thomson,7,4.0,8834,7690,Semi,Top,1600,5
1,realme,7,4.1,19495,11790,Fully,Top,700,5
2,realme,7,4.2,51785,7890,Semi,Top,1400,5
3,LG,7,4.4,28184,11490,Semi,Top,1350,5
4,Whirlpool,7,4.4,13340,9990,Semi,Top,1400,5
5,Voltas,6,4.3,2902,7990,Semi,Top,1350,5
6,MarQ,6,4.3,46215,6990,Semi,Top,1350,5
7,Thomson,7,4.0,8834,7590,Semi,Top,1400,5
8,LG,7,4.4,17242,28990,Fully,Top,1200,5
9,Haier,8,4.3,815,10490,Semi,Top,1300,5
10,BOSCH,8,4.4,8795,35900,Fully,Front,1400,5
11,realme,8,4.2,51785,9890,Semi,Top,1400,5
12,SAMSUNG,7,4.3,14870,15690,Fully,Top,680,3
13,Thomson,10,4.0,8834,9799,Semi,Top,1600,0
14,SAMSUNG,8,4.3,52837,18990,Fully,Top,700,5
15,LG,7,4.3,56333,17490,Fully,Top,700,5
16,Thomson,10,4.0,1078,14490,Fully,Top,900,5
17,BOSCH,7,4.4,8795,30990,Fully,Front,1000,5
18,Whirlpool,8,4.4,13340,12990,Semi,Top,1400,5
19,LG,8,4.3,56333,18990,Fully,Top,700,5
20,Panasonic,6,4.3,10193,13790,Fully,Top,680,5
21,Sansui,7,4.2,15133,7890,Semi,Top,1300,5
22,MOTOROLA,10,4.2,457,10990,Semi,Top,1350,5
23,Haier,6,4.3,22298,12790,Fully,Top,800,5
24,LG,8,4.5,3779,13990,Fully,Top,1300,5
25,LG,7,4.3,56333,18490,Fully,Top,700,5
28,Intex,8,4.3,15478,8390,Semi,Top,1300,0
29,LG,9,4.3,408,24990,Fully,Top,700,5
32,realme,7,4.2,51785,8290,Semi,Top,1400,5
33,SAMSUNG,8,4.4,24506,35990,Fully,Front,1400,5
34,Whirlpool,7,4.1,13570,14790,Fully,Top,740,5
35,SAMSUNG,6,4.4,39478,8990,Semi,Top,1300,5
38,Whirlpool,8,4.4,13340,12490,Semi,Top,1400,5
39,SAMSUNG,9,4.4,39478,16090,Semi,Top,1300,5
42,LG,6,4.4,28184,9990,Semi,Top,1300,5
43,LG,6,4.4,4386,24999,Fully,Top,1000,5
44,Whirlpool,9,4.4,13340,13990,Semi,Top,1400,5
45,MarQ,7,4.2,17602,7390,Semi,Top,1350,5
48,SAMSUNG,9,4.4,24506,38990,Fully,Front,1400,5
49,MarQ,6,4.3,21165,6990,Semi,Top,1350,5
52,Intex,7,4.3,15478,7290,Semi,Top,1300,0
53,Voltas,8,4.3,2902,9990,Semi,Top,1350,5
55,Whirlpool,7,4.1,13570,17990,Fully,Top,740,5
58,Whirlpool,6,4.2,18202,13790,Fully,Top,740,5
